# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
矢		shǐ	arrow; swear, vow; 矢量 shǐliàng vector
骆	駱	luò	骆驼 luòtuo camel
涤	滌	dí	(wash); 涤纶 dílún polyester fiber
靶		bǎ	(靶子 bǎzi) target  [bà]
砂		shā	sand; 砂石 sandstone (compare 沙 as in 沙漠 desert)
稽		jī	examine; 滑稽 huáji funny  [qǐ] 稽首 qǐshǒu kowtow
砰		pēng	bang (sound)  [pīng] [pèng]
蓉		róng	( = 城都 Chéngdū); 芙蓉 fúróng lotus
垛		duò	pile, stack  [duǒ] 垛子 duǒzi buttress; battlements
酌		zhuó	(书) pour/drink wine; think over, consider
栖	棲	qī	栖息 qīxī (of birds) perch; dwell, stay; 两栖 amphibious  [xī] 栖栖 jumpy
匿		nì	to hide  [tè]
躇		chú	踌躇 chóuchú hesitate  [chuò]
踌	躊	chóu	踌躇 chóuchú hesitate
衙		yá	官衙 guānyá (old:) government office  [yú] [yù]
靖		jìng	绥靖 suíjìng pacify; appease
畴	疇	chóu	(田畴) farmland; former; 范畴 fànchóu category
诀	訣	jué	rhymed formula; (诀窍) knack; tricks of the trade
饲	飼	sì	饲养 sìyǎng raise; 饲料 forage, feed, fodder
粤	粵	Yuè	粤语 Yuèyǔ Cantonese; 粤剧 yuèjù Guangdong opera
瑶	瑤	yáo	precious stone, green jasper
刨		páo	dig, excavate; (spoken:) except  [bào] plane (wood flat)
狸		li	狐狸 húli fox  [lí] racoon dog
沥	瀝	lì	drop, trickle; 沥青 lìqīng asphalt
炕		kàng	heatable brick bed  [hāng]
叽	嘰	jī	chirp  [jiào]
酵		jiào	发酵 fājiào ferment, leaven
呜	嗚	wū	(sound of whistling, zooming); 呜咽 wūyè sob, whimper
垦	墾	kěn	cultivate land  [yín]
啃		kěn	gnaw, nibble
嗜		shì	嗜好 shìhào hobby; addiction, habit
镁	鎂	měi	magnesium (Mg)
妓		jì	(娼妓 chāngjì) prostitute  [jī]
阎	閻	Yán	阎王 Yama, King of Hell
扳		bān	pull, turn; 扳机 trigger; 扳手 wrench  [pān] (=攀)
剔		tī	pick, scrape meat from a bone with a knife  [tì]
麟		lín	麒麟 qílín Chinese unicorn
撮		cuō	scoop up; extract; (量) pinch   [zuǒ] tuft (of hair)  [zuì] [zuān] [chuā]
骇	駭	hài	骇人 hàirén horrible; 骇怕 hàipà be afraid
柄		bǐng	handle
柬		jiǎn	card, note, letter; 柬埔寨 Jiǎnpǔzhài Cambodia
梢		shāo	tip, end of a twig          [sào] [shào] [xiāo]
沼		zhǎo	沼泽 zhǎozé marsh
笃	篤	dǔ	earnest; seriously ill; 笃笃 dǔdǔ
涩	澀	sè	puckery, astringent; unsmooth
禹		Yǔ	(surname); founder of 夏 Xià Dynasty 1989 B.C.
萎		wěi	wilt; 萎缩 wěisuō wither; atrophy  [wēi] decline  [wèi]
怅	悵	chàng	惆怅 chóuchàng disconsolate, melancholy
洼	窪	wā	swamp, hollow; 低洼 dīwā low-lying  [guī]
贮	貯	zhù	(贮存) store, save
抨		pēng	抨击 pēngjī attack (verbally)  [bēng]
钧	鈞	jūn	ancient unit of weight (30 斤); 钧座 Your Excellency
懈		xiè	(懈怠 xièdài) slack, lax, sluggish
澡		zǎo	(洗澡 xǐzǎo) bath  [cāo]
嘀		dí	嘀咕 dígu whisper  [dī] 嘀嗒 dīda drip  [zhé]
瞥		piē	shoot a glance at; 瞥见 piējiàn catch a glimpse of  [bì]
勘		kān	勘探 exploration; 勘测 survey; 勘误表 errata
窘		jiǒng	in a difficult situation; embarrassed
苑		yuàn	enclosed garden; zoo; park; center; (surname)  [yuān] [yù] [yùn]
糙		cāo	粗糙 cūcāo coarse, rough; 糙米 cāomǐ brown rice
萌		méng	sprout, bud; 萌发 germinate  [míng]
渥		wò	(书) damp; 优渥 yōuwò (书) liberal; munificent  [òu] [wū]
枣	棗	zǎo	jujube, Chinese date
杖		zhàng	手杖 shǒuzhàng cane, staff, walking stick
蔚		wèi	蔚蓝 wèilán azure, sky-blue; 茺蔚 chōngwèi motherwort  [Yù]
蜀		shǔ	silkworm
褐		hè	褐色 brown
蓓		bèi	蓓蕾 bèilěi bud
蓦	驀	mò	suddenly
萃		cuì	䷬ Gathering Together
禄	祿	lù	good luck; official's salary in ancient times
馋	饞	chán	gluttonous, greedy
眶		kuàng	eye socket
惚		hū	obscure, uncertain
栅	柵	zhà	栅栏 zhàlan railings, bars  [shān] 栅极 grid  [cè]
炫		xuàn	dazzle; show off, brag, boast
呕	嘔	ǒu	(呕吐 ǒutù) vomit, throw up  [òu] (=怄)  [ōu]
茸		róng	茸茸 róngróng soft & thick (hair, grass, etc.)  [rōng] 绿茸茸  [rǒng]
硕	碩	shuò	large; 硕士学位 shuòshìxuéwèi Master's degree
娟		juān	(娟秀 juānxiù) beautiful, graceful
趾		zhǐ	脚趾 jiǎozhǐ toe
钥	鑰	yào	钥匙 yàoshi key   [yuè] key
迢		tiáo	迢迢 tiáotiáo far away, remote
踱		duó	pace, stroll  [chuò]
祷	禱	dǎo	祷告 dǎogào pray; 祈祷 qídǎo pray
赎	贖	shú	redeem; ransom; atone; 赎买 shúmǎi redeem, buy out
桐		tóng	tung tree; 桐油 tung oil  [tōng] [dòng]
瞄		miáo	(瞄准 miáozhǔn) aim
穗		suì	ear of grain; 穗子 suìzi tassel, fringe; Suì (广州)  [diàn]
桦	樺	huà	(桦树 huàshù) birch
澎		péng	splash; 澎湃 péngpài surge  [pēng]
鲤	鯉	lǐ	(鲤鱼) carp
撩		liāo	hold up; sprinkle  [liáo] tease, provoke  [liào] (=撂)  [liǎo] [lào]
恕		shù	forgive, pardon, excuse
熏		xūn	kind of sweet grass; to smoke, fumigate  [xùn] poison by gas
姊		zǐ	elder sister; 姊妹 zǐmèi sisters  [jiě] (=姐)
糠		kāng	chaff
夭		yāo	(夭亡 yāowáng, 夭折 yāozhé) die young  [wò] [wāi]
咀		jǔ	(咀嚼 jǔjué) chew, ruminate
狈	狽	bèi	狼狈 lángbèi in a difficult position
甭		béng	(short for 不用 búyòng) there's no need to  [qì]
疙		gē	疙瘩 gēda bump, lump, knot  [gā] [yì]
碱	鹼	jiǎn	alkali; soda  [xián]
诫	誡	jiè	告诫 gàojiè warn
雹		báo	冰雹 bīngbáo hail
疤		bā	伤疤, 疤痕 scar
荧	熒	yíng	荧光 yíngguāng fluorescent
瘩		da	疙瘩 gēda pimple, lump  [dá] 瘩背 carbuncle on back  [dā]
屎		shǐ	shit, excrement  [xī]
褒		bāo	to praise
秉		bǐng	grasp, hold; master, control, preside over
疮	瘡	chuāng	疥疮 jièchuāng scabies; 痔疮 zhìchuāng haemorrhoids
禽		qín	birds; 禽兽 qínshòu birds & beasts
忿		fèn	indignant; angry
籽		zǐ	seed
湛		zhàn	deep; 湛蓝 azure blue  [chén] [dān] [tán] [jìn] [yǐn] [chěn] [yín] [shèn]
毋		wú	(书) no, not  [móu]
晤		wù	(会晤 huìwù) meet; 晤面 meet face to face	
碾		niǎn	grind; crush; flatten; roller	
抡	掄	lūn	brandish, swing  [lún] select	
敛	斂	liǎn	hold back, restrain; collect	
芹		qín	芹菜 qíncài celery	
攥		zuàn	hold, grip, grasp	
牡		mǔ	牡牛 bull; 牡蛎 mǔlì oyster; 牡丹 mǔdan tree peony	
虐		nüè	cruel; 虐待 mistreat	
亢		kàng	高亢 gāokàng loud and sonorous, resounding; high (land)  [gāng] [gēng]	
淤		yū	silt; 淤泥 yūní mud, filth; 淤积 yūjī silt up	
鳞	鱗	lín	fish scale	
诲	誨	huì	teach, instruct	
厮	廝	sī	male servant; fellow; together	
蚕	蠶	cán	silkworm  [tiǎn]	
酝	醞	yùn	酝酿 yùnniàng brew, ferment	
妃		fēi	imperial concubine; wife of prince etc.  [pèi]	
轩	軒	xuān	ancient carriage; lofty; small room; 轩轾 good or bad	
郡		jùn	prefecture	
钝	鈍	dùn	blunt; dull, stupid	
绽	綻	zhàn	split, burst	
绥	綏	suí	绥靖 suíjìng pacify; appease	
闺	閨	guī	small door; 闺女 guīnü girl; daughter	
笋	筍	sǔn	竹笋 bamboo shoots	
匈		xiōng	匈奴 Xiōngnú; 匈牙利 Xiōngyálì Hungary	
鞠		jū	鞠躬 jūgōng to bow  [qū] [qiōng]	
颓	頹	tuí	ruined; 颓丧 tuísàng, 颓唐 tuítáng dejected	
撂		liào	put down; throw down	
惦		diàn	(惦记, 惦念) remember with concern	
刁		diāo	tricky, artful, sly	
咙	嚨	lóng	喉咙 hóulóng throat	
坯		pī	base; semifinished product; blank; unburnt earthen brick  [huài]	
啼		tí	(啼哭 tíkū) cry, wail; crow, caw	
嗨		hāi	hey; 嗨哟 hāiyō heave-ho  [hēi]	
尴	尷	gān	尴尬 gāngà awkward, embarrassed	
唠	嘮	láo	唠叨 láodao chatter  [lào] chat	
尬		gà	尴尬 gāngà awkward, embarrassed	
吏		lì	官吏 guānlì government official, officer	
拎		līn	[līng] carry, lift	
棠		táng	(棠梨 tánglí) birchleaf pear	
槽		cáo	trough; groove  [zāo]	
尉		Wèi	(surname)  [Yù] 尉迟 Yùchí (surname)  [yùn]	
憧		chōng	憧憬 chōngjǐng long for, look forward to  [zhuàng]	
柿		shì	柿子 shìzi persimmon; 西红柿 xīhóngshì tomato	
捎		shāo	take, bring  [shào] 捎马子 shàomǎzi saddlebag  [shǎo] [xiāo] [qiào]	
岔		chà	branch off, fork; 打岔 dǎchà interrupt, cut in	
殴	毆	ōu	殴打 ōudǎ beat up, hit	
祈		qí	祈祷 qídǎo pray  [guǐ]	
弈		yì	(书) Go (more commonly known as 围棋 wéiqí)	
弧		hú	(弧形 húxíng) arc, curve; 弧光 arc light; 弧度 radian	
瘫	癱	tān	瘫痪 tānhuàn paralysis	
靴		xuē	(靴子) boot	
肪		fáng	脂肪 zhīfáng fat	
彷		páng	彷徨 pánghuáng walk back & forth aimlessly  [fǎng] (=仿)  [fáng]	
涧	澗	jiàn	ravine, gully	
憬		jǐng	憧憬 chōngjǐng long for; 憬悟 jǐngwù wake up to reality	
恤		xù	pity, sympathize; give relief	
榨		zhà	(压榨) press; extract	
跋		bá	跋涉 báshè trudge, trek  [bèi]	
馅	餡	xiàn	filling, stuffing	
辙	轍	zhé	(车辙) rut; rhyme; way	
拇		mǔ	大拇指 thumb	
拷		kǎo	(拷打) beat, flog, torture; 拷贝(电影) copy	
烯		xī	(烯烃 xītīng) alkene; olefin	
瞻		zhān	观瞻 appearance of a place; impression, sight, view	
哉		zāi	(bookish sentence final partical; exclamation or question)	
棘		jí	棘手 thorny, knotty, ticklish	
漱		shù	gargle	
涅		niè	alunite; dye black; 涅槃 nièpán nirvana	
橱	櫥	chú	cabinet; 橱窗 chúchuāng showcase; 橱柜 chúguì cupboard	
槛	檻	kǎn	(门槛儿 ménkǎnr) threshold  [jiàn] banisters; cage	
婷		tíng	graceful	
憨		hān	foolish, silly, naive, straightforward	
浒	滸	hǔ	waterside     [Xǔ] 浒墅关 (a place)	
赃	贓	zāng	bribes; stolen goods	
酣		hān	(drink, etc.) to one's heart's content  [hàn]	
妞		niū	girl  [hào]	
咚		dōng	咕咚 gūdōng thump, thud	
丐		gài	(乞丐 qǐgài) beggar	
渍	漬	zì	soak; stain; floodwater	
驼	駝	tuo	骆驼 luòtuo camel  [tuó] 驼背 hunchback; 锅驼机 locomobile	
栓		shuān	bolt, plug; 消火栓 fire hydrant  [shuàn] [quán]	
惘		wǎng	(惘然 wǎngrán) frustrated, disappointed	
馈	饋	kuì	to present as a gift; 反馈 fǎnkuì feedback	
恬		tián	恬静 tiánjìng tranquil	
硅		guī	silicon (Si); 硅谷 Guīgǔ Silicon Valley  [hè]	
颊	頰	jiá	jaw; cheek	
磷		lín	phosphorus (P)  [lìn] [lǐn] [líng]	
歼	殲	jiān	歼灭 annihilate	
藩		fān	藩篱 hedge, fence  [fán]	
滤	濾	lǜ	(过滤 guòlǜ) filter, strain	
侈		chǐ	奢侈 shēchǐ luxurious; extravagant; excessive	
篱	籬	lí	篱笆 líba bamboo or twig fence	
硝		xiāo	硝石 xiāoshí nitre; saltpetre; 硝烟 gunpowder smoke  [qiào]	
珑	瓏	lóng	玲珑 línglóng cleverly made; clever & nimble	
辗	輾	zhǎn	转辗 zhuǎnzhǎn get around; toss about	
缎	緞	duàn	satin; 绸缎 chóuduàn silks and satins	
寇		kòu	invade; invader; bandit	
殆		dài	danger, dangerous; on the point of, nearly, almost	
氨		ān	ammonia; 氨基酸 ānjīsuān amino acid	
蔼	藹	ǎi	和蔼 hé'ǎi amiable, friendly	
薛		Xuē	(surname)	
拽		zhuài	pull, haul  [zhuāi] fling, throw, hurl  [yè] (=曳)	
蛙		wā	(青蛙 qīngwā) frog  [jué]	
坤		kūn	☷ ䷁ The Receptive (Earth)	
噩		è	shocking	
胚		pēi	germ; (胚胎 pēitāi) embryo; 胚珠 ovule	
簿		bù	book; 电话簿 phone book  [bó]	
捅		tǒng	poke; disclose	
睦		mù	peaceful; 和睦 hémù amicable, harmonious	
磊		lěi	磊落 lěiluò just and honorable	
遏		è	stop, check, hold back	
戳		chuō	jab, poke, stab; 戳穿 chuōchuān puncture	
陀		tuó	陀螺 top; 陀螺仪 gyroscope  [duò]	
谤	謗	bàng	诽谤 fěibàng slander	
囡		nān	child; daughter; 囡囡 nānnān little darling  [niè] filch	
仕		shì	bodyguard (piece in 象棋 Chinese Chess)	
驯	馴	xùn	domesticate; tame and docile	
橙		chéng	orange (color); 橙子 chéngzi orange (fruit)  [dīng] [dèng]	
黯		àn	黯然 ànrán dim; dejected; 黯淡 àndàn dim; dismal  [ān]	
窥	窺	kuī	管窥 guǎnkuī look thru a bamboo tube; have narrow view	
潺		chán	潺潺 chánchán (sound of water:) murmur, babble	
卅		sà	thirty (same as 三十 sānshí)	
虏	虜	lǔ	俘虏 fúlǔ captive; take prisoner	
髓		suǐ	(骨髓 gǔsuǐ) marrow	
兢		jīng	战战兢兢 zhànzhànjīngjīng trembling with fear	
唬		hǔ	吓唬 xiàhu frighten     [xià] (same as 吓, 嚇)  [xiāo] [guó] [háo]	
朔		shuò	new moon	
犁		lí	plow; 犁铧 líhuá plowshare	
墅		shù	别墅 biéshù villa  [yě]	
孜		zī	孜孜不倦 zīzībújuàn hard-working and untiring	
宛		wǎn	宛如 wǎnrú just like; 宛然 wǎnrán as if  [yuān] 大宛  [yǔn] [yù]	
峙		zhì	(书) stand erect  [shì]	
峨		é	巍峨 wēi'é towering, lofty; 峨嵋山 Éméi Shān	
庚		gēng	the seventh 天干 Heavenly Stem	
舷		xián	side of a ship; 左舷 port; 右舷 starboard	
庵		ān	hut; nunnery, Buddhist convent  [yǎn] [è]	
庶		shù	numerous; 庶务 shùwu general affairs  [zhù] [zhē]	
绚	絢	xuàn	绚丽 xuànlì brilliant and colorful	
彤		tóng	(书) red  [tōng] 红彤彤 bright red	
曝		pù	expose; sun  [bào] 曝光 bàoguāng exposure (in photography)	
悍		hàn	fierce; brave; 悍然 hànrán brazenly	
惋		wǎn	sigh; 惋惜 wǎnxī feel sorry (for)  [lì]	
懊		ào	懊恼 annoyed; 懊丧 dejected; 懊悔 regret  [yù]	
拴		shuān	tie, fasten  [quán]	
漾		yàng	overflow	
揩		kāi	wipe  [jiá]	
晌		shǎng	part of the day; noon	
攘		rǎng	reject, resist; seize, grab; push up one's sleeves  [ràng] [níng] [xiǎng]	
怠		dài	lazy, indolent; insolent  [yí]	
屉	屜	tì	tray, drawer  [ti] 抽屉 chōuti drawer	
澈		chè	clear, limpid	
孽		niè	(罪孽 zuìniè) evil, sin	
娓		wěi	娓娓动听 speak with absorbing interest	
瘤		liú	肿瘤 zhǒngliú tumor	
渲		xuàn	渲染 xuànrǎn apply colors to drawing; exaggerate	
凸		tū	convex; 凸透镜 tūtòujìng convex lens; 凹凸 āotū uneven	
煽		shān	inflame, excite	
伶		líng	(actor); 伶俐 língli clever; 伶仃 língdīng lonely  [līng] 孤伶伶	
婪		lán	贪婪 tānlán avaricious  [lǎn]	
牟		móu	牟利 móulì seek profit  [mù] moo (the sound that cows make)  [mào]	
舵		duò	rudder; helm; 舵手 steersman, helmsman     [tuó]	
颐	頤	yí	䷚ The Corners of the Mouth; 颐和园	
猿		yuán	(猿猴) ape; 猿人 ape-man; 北京猿人 Peking Man	
悴		cuì	憔悴 qiáocuì wan and sallow; withered	
踊	踴	yǒng	踊跃 yǒngyuè leap, jump; enthusiastically	
瓢		piáo	ladle made of a gourd; 瓢虫 piáochóng ladybug	
痰		tán	phlegm; sputum; 痰盂 tányú spittoon	
缤	繽	bīn	缤纷 bīnfēn (书) in riotous profusion	
奢		shē	(奢侈 shēchǐ) luxurious; extravagant; excessive	
淆		xiáo	混淆 hùnxiáo confuse, mix	
瘪	癟	biě	shrivelled, shrunken  [biē] 瘪三 biēsān beggar/thief	
眺		tiào	眺望 tiàowàng look into distance from high place	
悯	憫	mǐn	pity, sympathize	
蚌		bàng	clam  [Bèng] 蚌埠 Bèngbu  [pí] [fēng]	
睬		cǎi	(理睬 lǐcǎi) pay attention to	
秤		chèng	balance, scale; steelyard  [chēng] [píng]	
揍		zòu	beat, hit, strike; smash, break  [còu]	
秧		yāng	seedling, sprout	
菱		líng	菱角 língjiao water chestnut	
绊	絆	bàn	stumble, trip	
囔		nāng	[nang] 嘟囔 dūnang mumble	
楞		lèng	(=愣) stupified  [léng] [lēng]	
肴	餚	yáo	sacrificial meats; meat dishes	
俏		qiào	pretty; nimble; sell well  [xiào] [xiāo]	
匣		xiá	small box, casket	
腮		sāi	(腮帮子 sāibāngzi) cheek	
膺		yīng	breast; receive	
鸽	鴿	gē	鸽子 gēzi pigeon	
霓		ní	secondary rainbow; 霓虹灯 neon light	
臻		zhēn	to attain (a high level)	
霄		xiāo	云霄 yúnxiāo the skies  [xiào]	
锯	鋸	jù	saw (noun & verb); 锯子 jùzi saw    [jū] (same as 锔)	
仄		zè	narrow; 仄声 oblique tone (any tone besides 平声)	
肘		zhǒu	elbow	
肋		lèi	肋骨 lèigǔ rib   [lē] [jīn]	
诽	誹	fěi	诽谤 fěibàng slander	
窒		zhì	窒息 zhìxī suffocate  [dié]	
擂		lèi	beat a drum; 擂台 arena  [lēi] hit  [léi] pestle	
钾	鉀	jiǎ	potassium (K)	
兮		xī	(a particle which adds a certain mood, like modern 啊)	
锥	錐	zhuī	圆锥 yuánzhuī cone; 角锥 jiǎozhuī pyramid shape	
闽	閩	Mǐn	another name for 福建 Fujian	
桨	槳	jiǎng	oar	
狄		Dí	(surname)  [tì]	
犀		xī	犀牛 xīniú rhinoceros	
隅		yú	corner, nook; outlying place, border	
烙		lào	iron (for clothes); brand; bake in pan; 烙铁 iron  [luò] 炮烙	
黛		dài	black pigment for painting eyebrows	
亘		gèn	extend  [xuān] [gèng]	
惰		duò	懒惰 lǎnduò lazy  [tuó]	
峦	巒	luán	山峦 shānluán chain of mountains	
嗒		dā	嗒嗒 dādā (sound)  [tà] 嗒然 tàrán (书) dejected  [da]	
倔		juè	gruff, surly  [jué] 倔强 juéjiàng stubborn	
嚣	囂	xiāo	(叫嚣 jiàoxiāo) shout, make noise, clamor	
祟		suì	evil spirit, ghost	
钳	鉗	qián	(钳子 qiánzi) tongs, pliers, pincers, forceps	
郝		Hǎo	(surname)  [shì]	
卦		guà	trigram or hexagram from the 易经 Book of Changes	
懦		nuò	cowardly, weak	
谕	諭	yù	(书) tell; 上谕 shàngyù imperial edict	
吠		fèi	bark, yap	
蟆		má	[ma] 蛤蟆 háma frog, toad  [mò]	
吩		fēn	吩咐 fēnfù tell  [pèn]	
蜓		tíng	蜻蜓 qīngtíng dragonfly  [diàn]	
啄		zhuó	to peck  [zhòu]	
嗅		xiù	smell, scent, sniff; 嗅觉 sense of smell  [xù]	
缭	繚	liáo	sew; 缭绕 liáorào encircle; linger in the air	
噜	嚕	lū	打呼噜 dǎhūlu snore  [lǎo] 咕噜肉	
秽	穢	huì	dirty; abominable	
稣	穌	sū	revive, come to; 耶稣 Yēsū Jesus	
笙		shēng	Pandean pipe	
毡	氈	zhān	felt; 毡帽 felt hat	
峭		qiào	峭壁 qiàobì cliff, precipice	
崽		zǎi	son; young animal, whelp; 崽子 zǎizi (for cursing)	
栩		xǔ	species of oak; pleased  [yǔ]	
桅		wéi	(桅杆 wéigān) mast  [guǐ]	
廖		Liào	(surname)  [liáo]	
喋		dié	喋喋不休 chatter    [zhá] noise of ducks feeding  [qiè]	
嫉		jí	be jealous; hate	
旭		xù	brilliance of the rising sun	
嬉		xī	嬉笑 laugh & play; 嬉皮笑脸 grinning; 嬉皮士 hippy  [xǐ]	
掰		bāi	break off with fingers and thumb; 掰腕子 hand wrestling	
崎		qí	崎岖 qíqū rugged  [qǐ] [yī]	
锵	鏘	qiāng	(sound:) clang, gong	
棱		léng	arris, edge; ridge    [lēng]  [líng] [lèng] [chēng]	
椭	橢	tuǒ	椭圆 tuǒyuán ellipse	
藻		zǎo	algae; aquatic plants; literary embellishment	
楠		nán	楠木 nanmu	
榕		róng	(榕树 róngshù) banyan, fig tree; Fuzhou	
锰	錳	měng	manganese (Mn)	
眩		xuàn	(昏眩 hūnxuàn) dizzy; 眩晕 xuànyùn vertigo  [huàn] [juàn]	
涎		xián	saliva  [yàn] [diàn]	
殃		yāng	calamity; bring disaster to; 遭殃 meet with disaster	
窍	竅	qiào	诀窍 juéqiào knack; tricks of the trade	
帖		tiè	字帖 zìtiè book of calligraphy  [tiě] note; invitation  [tiē] obey	
甥		shēng	甥儿 sister's son, nephew; 甥女 sister's daughter, niece	
腑		fǔ	脏腑 zàngfǔ internal organs	
雏	雛	chú	雏鸟 chúniǎo young bird; nestling, fledgling	
隧		suì	隧道 suìdào tunnel  [zhuì]	
腋		yè	(腋窝 yèwō) armpit; axil	
镰	鐮	lián	sickle	
茵		yīn	mattress	
愕		è	愕然 èrán astounded	
荔		lì	荔枝 lìzhī lychee (fruit)	
轧	軋	yà	roll; run over; squeeze out  [zhá] roll (steel)  [gá]	
菇		gū	(蘑菇 mógu) mushroom	
讪	訕	shàn	mock, ridicule, abuse; embarrassed	
殉		xùn	be buried alive with dead; sacrifice oneself	
蜿		wān	蜿蜒 wānyán wriggle; zigzag, meander  [wǎn]	
锌	鋅	xīn	zinc (Zn)	
蛤		há	蛤蟆 háma frog   [gé] 蛤蜊 gélí clam  [hā] [é]	
褪		tùn	slip out of   [tuì] take off, shed; fade	
羁	羈	jī	bridle; restrain; 羁绊 jībàn yoke; 羁旅 travel	
芸		yún	rue; 芸香 essence of rue; 芸芸 numerous  (F蕓) 芸薹 yúntái rape  [yùn]	
谍	諜	dié	间谍 jiàndié spy, secret agent	
矗		chù	矗立 chùlì (书) stand tall and upright	
蹋		tà	糟蹋 zāota waste, spoil	
炯		jiǒng	(炯炯 jiǒngjiǒng) (书) bright, shining	
蹭		cèng	rub; be smeared with; hang around, loiter  [céng]	
迸		bèng	burst, spurt, spout	
钮	鈕	niǔ	电钮 diànniǔ push-button	
戊		wù	fifth of ten 天干 Heavenly Stems	
卤	鹵	lǔ	halogen (earth containing salt); thick gravy  [xī]	
敝		bì	(书) shabby, worn out; my, our (indicating humility)	
阱		jǐng	陷阱 xiànjǐng pit, trap	
厄		è	(厄难 ènàn) disaster  [ě]	
霎		shà	a shower; slight, passing	
韶(=􀜾𪔓㲈𢨍) (!􂆀招) [sháo] (Unihan:) music of the emperor Shun; beautiful				
宦		huàn	officials	
叩		kòu	knock; 叩头 kòutóu ( = 磕头 kētóu) kowtow	
鞍		ān	(马鞍 mǎ'ān) saddle	
饺	餃	jiǎo	(饺子, 水饺) dumpling, ravioli	
沌		dùn	混沌 hùndùn Chaos; innocent as a child  [tún] [chún] [zhuàn]	
偎		wēi	to fondle	
襄		xiāng	(襄助 xiāngzhù) assist, help	
蜻		qīng	蜻蜓 qīngtíng dragonfly  [jīng]	
呗	唄	bei	(similar to 吧 ba)  [bài] 梵呗 Buddhist chanting	
哆		duō	哆嗦 duōsuo tremble, shiver  [chǐ] [zhà] [chì] [duò] [diě]	
窖		jiào	cellar  [zào]	
穹		qióng	vault, dome; the sky  [qiōng] [kōng]	
哧		chī	(sound of ripping or giggling)  [xià] [hè]	
哮		xiào	咆哮 páoxiào roar, thunder; 哮喘 xiàochuǎn asthma  [xuē]	
睫		jié	睫毛 jiémáo eyelash  [shè]	
唾		tuò	唾沫 tuòmo, 唾液 tuòyè saliva	
阑	闌	lán	late; railing, balustrade	
嗽		sòu	[sou] 咳嗽 késou cough  [shuò] [shù]	
溯		sù	go against the stream; trace back, recall  [shuò]	
囱	囪	cōng	烟囱 yāncōng chimney  [chuāng]	
孰		shú	(书) who, which, what	
孵		fū	hatch, incubate	
掂		diān	(掂量 diānliang) weigh in the hand	
榻		tà	long narrow & low bed; couch	
挎		kuà	carry on arm or over shoulder; 挎包 kuàbāo satchel  [kū] [kōu]	
恪		kè	scrupulously and respectfully	
拭		shì	wipe, rub; 拂拭 fúshì dust, wipe away	
徨		huáng	彷徨 pánghuáng walk back & forth aimlessly	
雍		yōng	harmony; (surname)	
匾		biǎn	sign (board or silk banner) with inscriptions of praise	
捺		nà	press down, restrain; right falling stroke ()	
掐		qiā	pinch; dig nails into; pick (flowers); cut off, nip; choke	
搪		táng	keep out; evade; spread	
苞		bāo	bud; (书) luxuriant  [páo] [biāo]	
逞		chěng	show off; carry out (evil design); indulge  [yíng]	
晾		liàng	dry in air or sun	
跚		shān	盘跚 pánshān limp, hobble	
冥		míng	幽冥 yōumíng shadowy; the nether world  [mián] [miàn]	
蝠		fú	蝙蝠 biānfú bat	
蝙		biān	蝙蝠 biānfú bat  [pián]	
窦	竇	dòu	hole; sinus; (surname)	
祺		qí	(书) auspicious	
梧		wú	梧桐 wútóng Chinese parasol tree; 魁梧 kuíwú big & tall  [wù] [yǔ]	
楷		kǎi	model; 楷书 regular script (standard calligraphy)  [jiè]	
沁		qìn	ooze, seep	
氢	氫	qīng	hydrogen (H)	
蝇	蠅	yíng	[ying] 苍蝇 cāngying fly	
泞	濘	nìng	泥泞 nínìng muddy  [zhù]	
弛		chí	松弛 sōngchí limp, slack; lax	
渎	瀆	dú	ditch, drain; show disrespect	
湃		pài	澎湃 péngpài to surge  [bá]	
窟		kū	窟窿 kūlong hole; cavity; deficit; 石窟 shíkū grotto	
尹		yǐn	ancient title for government official; (surname)  [yún]	
滇		Diān	short name for 云南  [tián] (=填)  [zhēn]	
潦		liáo	潦草 liáocǎo illegible; sloppy; 潦倒 liáodǎo be frustrated  [lǎo] 旱潦  [lào] [láo] [liǎo]	
擒		qín	capture, catch	
咎		jiù	blame, fault; 咎由自取 have only oneself to blame  [gāo]	
簸		bǒ	颠簸 diānbǒ jolt, bump  [bò] 簸箕 bòji dustpan	
亵	褻	xiè	undress; dirty; desecrate	
馨		xīn	pervasive fragrance	
驹	駒	jū	colt; foal	
盔		kuī	helmet	
蔗		zhè	[zhe] 甘蔗 gānzhe sugar cane	
镀	鍍	dù	to plate (cover a surface with metal)	
吝		lìn	stingy	
跤		jiāo	heel  [qiāo]	
笠		lì	big cone-shaped bamboo or straw hat with wide brim	
粟		sù	grain	
萦	縈	yíng	entangle; 萦绕 yíngrǎo hover, linger	
迂		yū	(迂回 yūhuí) circuitous	
苔		tái	(青苔) moss; 苔藓 táixiǎn lichen  [tāi] 舌苔 shétāi coating on tongue	
羹		gēng	thick soup; 调羹 tiáogēng spoon  [láng]	
聆		líng	(书) listen; hear	
袄	襖	ǎo	short Chinese jacket	
茨		cí	(书) thatch (a roof); puncture vine	
葵		kuí	葵花 sunflower	
鬓	鬢	bìn	hair on the temples	
拯		zhěng	拯救 zhěngjiù rescue, deliver, save	
恃		shì	rely on, depend on  [zhì]	
拄		zhǔ	lean on (stick etc.)	
