	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
的	de	possessive, adjectival suffix	白 106.3	8	1	1155	1
一	yī	one; a, an; alone	一 1.0	1	1	1	2
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	日 72.5	9	1	1479	3
不	bù	no, not; un-; negative prefix	一 1.3	4	1	91	4
了	le	to finish; particle of completed action	亅 6.1	2	1	17	5
在	zài	be at, in, on; consist in, rest	土 32.3	6	1	388	6
人	rén	man; people; mankind; someone else	人 9.0	2	1	10	7
有	yǒu	have, own, possess; exist	月 74.2	6	1	390	8
我	wǒ	our, us, i, me, my, we	戈 62.3	7	1	761	9
他	tā	other, another; he, she, it	人 9.3	5	1	277	10
这	zhè	this, the, here	辵 162.4	7	1	837	11
个	gè	numerary adjunct, piece; single	丨 2.2	3	1	45	12
们	men	adjunct pronoun indicate plural	人 9.3	5	1	273	13
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨 2.3	4	1	113	14
来	lái	come, coming; return, returning	木 75.3	7	1	707	15
上	shàng	top; superior, highest; go up, send up	一 1.2	3	1	36	16
大	dà	big, great, vast, large, high	大 37.0	3	1	32	17
和	hé	harmony, peace; peaceful, calm	口 30.5	8	1	1131	19
国	guó	nation, country, nation-state	囗 31.5	8	1	1081	20
说	shuō	speak, say, talk; scold, upbraid	言 149.7	9	1	1717	24
时	shí	time, season; era, age, period	日 72.3	7	1	717	25
出	chū	go out, send out; stand; produce	凵 17.3	5	1	330	28
会	huì	assemble, meet together; meeting	人 9.4	6	1	486	29
你	nǐ	you, second person pronoun	人 9.5	7	1	782	32
对	duì	correct, right; facing, opposed	寸 41.2	5	1	341	33
生	shēng	life, living, lifetime; birth	生 100.0	5	1	263	34
能	néng	to be able; can, permitted to; ability	肉 130.6	10	1	2146	35
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子 39.0	3	1	64	37
那	nà	that, that one, those	邑 163.4	6	1	564	38
下	xià	under, underneath, below; down; inferior; bring down	一 1.2	3	1	30	42
年	nián		干 51.3	6	1	444	45
后	hòu	queen, empress, sovereign; (simp. for 後) behind, rear, after	口 30.3	6	1	482	48
作	zuò	make; work; compose, write; act, perform	人 9.5	7	1	777	49
里	lǐ	unit of distance; village; lane	里 166.0	7	1	721	50
家	jiā	house, home, residence; family	宀 40.7	10	1	2099	56
多	duō	much, many; more than, over	夕 36.3	6	1	507	61
么	me	interrogative particle; repetition of a tune small; tender	丿 4.2	3	1	48	63
去	qù	go away, leave, depart	厶 28.3	5	1	204	64
学	xué	learning, knowledge; school	子 39.5	8	1	1273	66
都	dōu	metropolis, capital; all, the whole; elegant, refined	邑 163.9	10	1	1801	68
同	tóng	same, similar; together with	口 30.3	6	1	427	69
现	xiàn	appear, manifest, become visible	玉 96.4	8	1	949	70
没	méi	not, have not, none; drown, sink	水 85.4	7	1	867	72
面	miàn	face; surface; plane; side, dimension	面 176.0	9	1	1455	74
起	qǐ	rise, stand up; go up; begin	走 156.3	10	1	1789	75
看	kàn	look, see; examine, scrutinize	目 109.4	9	1	1539	76
天	tiān	sky, heaven; god, celestial	大 37.1	4	1	78	78
分	fēn	divide; small unit of time etc.	刀 18.2	4	1	146	79
好	hǎo	good, excellent, fine; well	女 38.3	6	1	581	82
小	xiǎo	small, tiny, insignificant	小 42.0	3	1	37	83
些	xiē	little, few; rather, somewhat	二 7.5	8	1	1069	86
样	yàng	shape, form, pattern, style	木 75.6	10	1	1849	88
她	tā	she, her	女 38.3	6	1	582	91
本	běn	root, origin, source; basis	木 75.1	5	1	210	92
前	qián	in front, forward; preceding	刀 18.7	9	1	1650	93
开	kāi	open; initiate, begin, start	廾 55.1	4	1	76	94
想	xiǎng	think, speculate, plan, consider	心 61.9	13	1	2867	99
机	jī	desk; machine; moment	木 75.2	6	1	377	111
十	shí	ten, tenth; complete; perfect	十 24.0	2	1	4	112
工	gōng	labor, work; worker, laborer	工 48.0	3	1	26	118
明	míng	bright, light, brilliant; clear	日 72.4	8	1	1087	121
三	sān	three	一 1.2	3	1	22	125
关	guān	frontier pass; close; relation	八 12.4	6	1	532	127
点	diǎn	dot, speck, spot; point, degree	火 86.5	9	1	1469	128
高	gāo	high, tall; lofty, elevated	高 189.0	10	1	2021	134
很	hěn	very, quite, much	彳 60.6	9	1	1584	138
见	jiàn	see, observe, behold; perceive	見 147.0	4	1	118	153
什	shén	file of ten soldiers; mixed, miscellaneous	人 9.2	4	1	129	156
二	èr	two; twice	二 7.0	2	1	3	157
果	guǒ	fruit; result	木 75.4	8	1	1079	165
西	xī	west(ern); westward, occident	襾 146.0	6	1	384	167
月	yuè	moon; month; KangXi radical 74	月 74.0	4	1	150	169
话	huà	speech, talk, language; dialect	言 149.6	8	1	1296	170
回	huí	return, turn around; a time	囗 31.3	6	1	438	172
老	lǎo	old, aged; experienced	老 125.0	6	1	360	179
先	xiān	first, former, previous	儿 10.4	6	1	446	188
儿	ér	son, child; KangXi radical 10	儿 10.0	2	1	12	192
东	dōng	east, eastern, eastward	一 1.4	5	1	225	194
水	shuǐ	water, liquid, lotion, juice	水 85.0	4	1	117	202
名	míng	name, rank, title, position	口 30.3	6	1	505	203
几	jǐ	small table	几 16.0	2	1	14	211
认	rèn	recognize, know, understand	言 149.2	4	1	171	213
系	xì	system; line, link, connection	糸 120.1	7	1	825	216
气	qì	steam, vapor; KangXi radical 84	气 84.0	4	1	122	217
打	dǎ	strike, hit, beat; fight; attack	手 64.2	5	1	196	223
女	nǚ	woman, girl; feminine; rad. 38	女 38.0	3	1	67	224
四	sì	four	囗 31.2	5	1	262	226
电	diàn	electricity; electric; lightning	曰 73.1	5	1	242	230
少	shǎo	few, less, inadequate	小 42.1	4	1	110	233
太	tài	very, too, much; big; extreme	大 37.1	4	1	93	240
再	zài	again, twice, re-	冂 13.4	6	1	382	242
做	zuò	work, make; act	人 9.9	11	1	2324	246
期	qī	period of time; date; time limit	月 74.8	12	1	2542	253
五	wǔ	five; surname	二 7.2	4	1	88	279
书	shū	book, letter, document; writings	丨 2.3	4	1	188	282
听	tīng	hear; understand; obey, comply	口 30.4	7	1	739	285
住	zhù	reside, live at, dwell, lodge; stop	人 9.5	7	1	783	309
北	běi	north; northern; northward	匕 21.3	5	1	227	315
觉	jué	to wake up from sleep; conscious	見 147.5	9	1	1694	327
师	shī	teacher, master, specialist	巾 50.3	6	1	413	333
今	jīn	now, today, modern era	人 9.2	4	1	144	336
院	yuàn	courtyard, yard, court; school	阜 170.7	9	1	1734	338
识	shí	recognize, understand, know	言 149.5	7	1	892	340
候	hòu	wait; expect; visit; greet	人 9.8	10	1	1964	341
飞	fēi	fly; go quickly; dart; high	乙 5.2	3	1	69	347
车	chē	cart, vehicle; carry in cart	車 159.0	4	1	100	361
服	fú	clothes; wear, dress	月 74.4	8	1	1190	365
怎	zěn	what? why? how?	心 61.5	9	1	1543	382
呢	ne	interrogative or emphatic final; (Cant.) this	口 30.5	8	1	1102	383
叫	jiào	cry, shout; hail, greet, call	口 30.2	5	1	253	387
影	yǐng	shadow; image, reflection; photograph	彡 59.12	15	1	3240	390
字	zì	letter, character, word	子 39.3	6	1	548	393
爱	ài	love, be fond of, like	爪 87.6	10	1	1987	394
商	shāng	commerce, business, trade	口 30.8	11	1	2391	402
请	qǐng	ask, request; invite; please	言 149.8	10	1	2108	421
视	shì	look at, inspect, observe, see	見 147.4	8	1	1294	438
九	jiǔ	nine	乙 5.1	2	1	15	445
写	xiě	write; draw, sketch; compose	冖 14.3	5	1	316	448
八	bā	eight; all around, all sides	八 12.0	2	1	9	451
吗	ma	final interrogative particle	口 30.3	6	1	432	453
吃	chī	eat; drink; suffer, endure, bear	口 30.3	6	1	429	475
六	liù	number six	八 12.2	4	1	160	478
医	yī	cure, heal; doctor, medical	匸 23.5	7	1	700	482
号	hào	mark, sign; symbol; number	口 30.2	5	1	243	487
语	yǔ	language, words; saying, expression	言 149.7	9	1	1707	493
七	qī	seven	一 1.1	2	1	7	530
兴	xìng	thrive, prosper, flourish	八 12.4	6	1	544	531
星	xīng	a star, planet; any point of light	日 72.5	9	1	1488	537
京	jīng	capital city	亠 8.6	8	1	1205	566
米	mǐ	hulled or husked uncooked rice	米 119.0	6	1	533	575
客	kè	guest, traveller; customer	宀 40.6	9	1	1703	583
友	yǒu	friend, companion; fraternity	又 29.2	4	1	97	594
钱	qián	money, currency, coins	金 167.5	10	1	1928	603
热	rè	hot; heat; fever; restless; zeal	火 86.6	10	1	1809	606
坐	zuò	sit; seat; ride, travel by	土 32.4	7	1	797	611
校	xiào	school; military field officer	木 75.6	10	1	1847	633
脑	nǎo	brain	肉 130.6	10	1	2001	646
谁	shuí	who? whom? whose? anyone?	言 149.8	10	1	2122	648
哪	nǎ	which? where? how?	口 30.7	9	1	1515	652
喜	xǐ	like, love, enjoy; joyful thing	口 30.9	12	1	2523	668
习	xí	practice; flapping wings	冫 15.1	3	1	70	676
欢	huān	happy, pleased, glad; joy; enjoy	欠 76.2	6	1	587	685
冷	lěng	cold, cool; lonely	冫 15.5	7	1	838	700
汉	hàn	Chinese people; Chinese language	水 85.2	5	1	311	711
衣	yī	clothes, clothing; cover, skin	衣 145.0	6	1	520	725
妈	mā	mother, mama	女 38.3	6	1	583	750
读	dú	read, study; pronounce	言 149.8	10	1	2112	752
买	mǎi	buy, purchase; bribe, persuade	大 37.3	6	1	588	758
岁	suì	year; age; harvest	山 46.3	6	1	436	772
块	kuài	piece, lump; dollar	土 32.4	7	1	652	793
姐	jiě	elder sister, young lady	女 38.5	8	1	1326	830
亮	liàng	bright, brilliant, radiant, light	亠 8.7	9	1	1621	840
朋	péng	friend, pal, acquaintance	月 74.4	8	1	1185	882
谢	xiè	thank; decline	言 149.10	12	1	2795	897
钟	zhōng	clock; bell	金 167.4	9	1	1528	905
雨	yǔ	rain; rainy; KangXi radical 173	雨 173.0	8	1	1041	928
饭	fàn	cooked rice; food, meal	食 184.4	7	1	823	935
睡	shuì	sleep, doze	目 109.8	13	1	2900	964
喝	hē	drink; shout, call out	口 30.9	12	1	2639	983
午	wǔ	noon; 7th terrestrial branch	十 24.2	4	1	119	1004
店	diàn	shop, store; inn, hotel	广 53.5	8	1	1208	1041
爸	bà	father, papa	父 88.4	8	1	1171	1050
桌	zhuō	table, desk, stand	木 75.6	10	1	1881	1193
菜	cài	vegetables; dish, order; food	艸 140.8	11	1	2207	1266
茶	chá	tea	艸 140.6	9	1	1411	1272
狗	gǒu	dog, canis familiaris	犬 94.5	8	1	1198	1281
杯	bēi	cup, glass	木 75.4	8	1	1020	1396
租	zū	rent, lease; rental; tax	禾 115.5	10	1	1944	1397
昨	zuó	yesterday; in former times, past	日 72.5	9	1	1489	1475
漂	piào	float, drift; tossed about	水 85.11	14	1	3163	1568
椅	yǐ	chair, seat	木 75.8	12	1	2569	1663
猫	māo	cat	犬 94.9	11	1	2367	1673
喂	wèi	interjection to call attention	口 30.9	12	1	2641	1988
苹	píng	artemisia; duckweed; apple	艸 140.5	8	1	1004	2478
为	wèi	do, handle, govern, act; be	丶 3.3	4	2	165	18
到	dào	go to, arrive, been to	刀 18.6	8	2	1063	22
以	yǐ	by means of; thereby, therefore; consider as; in order to	人 9.3	4	2	182	23
要	yào	necessary, essential; necessity	襾 146.3	9	2	1441	26
就	jiù	just, simply; to come, go to; to approach, near	尢 43.9	12	2	2728	27
可	kě	may, can, -able; possibly	口 30.2	5	2	212	30
也	yě	also; classical final particle of strong affirmation or identity	乙 5.2	3	2	66	31
得	dé	obtain, get, gain, acquire	彳 60.8	11	2	2341	39
着	zhe	make move, take action	目 109.6	11	2	2398	41
过	guò	pass, pass through, go across	辵 162.3	6	2	379	46
道	dào	path, road, street; method, way	辵 162.9	12	2	2745	52
所	suǒ	place, location; numerary adjunct	戶 63.4	8	2	1164	54
然	rán	yes, certainly; pledge, promise	火 86.8	12	2	2723	55
事	shì	affair, matter, business; to serve; accident, incident	亅 6.7	8	2	1038	58
经	jīng	classic works; pass through	糸 120.5	8	2	1350	62
动	dòng	move, happen; movement, action	力 19.4	6	2	353	73
还	hái	still, yet, also, besides	辵 162.4	7	2	704	80
进	jìn	advance, make progress, enter	辵 162.4	7	2	605	81
但	dàn	only; but, however, yet, still	人 9.5	7	2	774	95
因	yīn	cause, reason; by; because (of)	囗 31.3	6	2	430	96
从	cóng	from, by, since, whence, through	人 9.2	4	2	142	98
日	rì	sun; day; daytime	日 72.0	4	2	112	101
意	yì	thought, idea, opinion; think	心 61.9	13	2	2996	104
它	tā	it; other	宀 40.2	5	2	314	107
长	zhǎng	long; length; excel in; leader	長 168.0	4	2	127	109
第	dì	sequence, number; grade, degree	竹 118.5	11	2	2322	114
公	gōng	fair, equitable; public; duke	八 12.2	4	2	148	115
已	yǐ	already; finished; stop	己 49.0	3	2	61	117
情	qíng	feeling, sentiment, emotion	心 61.8	11	2	2438	120
知	zhī	know, perceive, comprehend	矢 111.3	8	2	1122	123
正	zhèng	right, proper, correct	止 77.1	5	2	198	129
外	wài	out, outside, external; foreign	夕 36.2	5	2	293	131
两	liǎng	two, both, pair, couple; ounce	一 1.6	7	2	697	133
间	jiān	midpoint, space; place, locality	門 169.4	7	2	847	135
问	wèn	ask about, inquire after	門 169.3	6	2	528	137
最	zuì	most, extremely, exceedingly	曰 73.8	12	2	2614	139
手	shǒu	hand	手 64.0	4	2	121	143
体	tǐ	body; group, class, body, unit; inferior	人 9.5	7	2	770	149
等	děng		竹 118.6	12	2	2681	158
新	xīn	new, recent, fresh, modern	斤 69.9	13	2	2994	161
身	shēn	body; trunk, hull; rad. no. 158	身 158.0	7	2	786	164
表	biǎo	show, express, manifest, display	衣 145.3	8	2	951	177
给	gěi	give; by, for	糸 120.6	9	2	1758	180
次	cì	order, sequence; next	欠 76.2	6	2	521	183
门	mén	gate, door, entrance, opening	門 169.0	3	2	55	185
常	cháng	common, normal, frequent, regular	巾 50.8	11	2	2257	187
教	jiào	teach, class	攴 66.7	11	2	2179	191
比	bǐ	to compare, liken; comparison; than	比 81.0	4	2	105	199
员	yuán	member; personnel, staff member	口 30.4	7	2	737	200
真	zhēn	real, actual, true, genuine	目 109.5	10	2	1832	204
走	zǒu	walk, go on foot; run; leave	走 156.0	7	2	625	207
条	tiáo	clause, condition; string, stripe	木 75.3	7	2	816	214
题	tí	forehead; title, headline; theme	頁 181.9	15	2	3233	218
别	bié	separate, other; do not	刀 18.5	7	2	751	222
报	bào	report, tell, announce	手 64.4	7	2	656	234
务	wù	affairs, business; must, should	夂 34.2	5	2	297	245
场	chǎng	open space, field, market	土 32.3	6	2	367	249
件	jiàn	numerary adjunct for article; matter	人 9.4	6	2	466	250
便	biàn	convenience, ease; expedient	人 9.7	9	2	1556	271
司	sī	take charge of, control, manage; officer	口 30.2	5	2	325	278
眼	yǎn	eye; eyelet, hole, opening	目 109.6	11	2	2263	281
非	fēi	not, negative, non-; oppose	非 175.0	8	2	1064	283
白	bái	white; pure, unblemished; bright	白 106.0	5	2	275	286
思	sī	think, consider, ponder; final particle	心 61.5	9	2	1500	298
完	wán	complete, finish, settle; whole	宀 40.4	7	2	877	301
色	sè	color, tint, hue, shade; form, body; beauty, desire for beauty	色 139.0	6	2	509	304
路	lù	road, path, street; journey	足 157.6	13	2	2918	305
告	gào	tell, announce, inform; accuse	口 30.4	7	2	760	310
边	biān	edge, margin, side, border	辵 162.2	5	2	337	316
望	wàng	to look at, look forward; to hope, expect	月 74.7	11	2	2394	326
共	gòng	together with, all, total; to share	八 12.4	6	2	371	330
让	ràng	allow, permit, yield, concede	言 149.3	5	2	317	339
运	yùn	run; simplified form of 運 luck, fortune; ship, transport	辵 162.4	7	2	611	345
笑	xiào	smile, laugh, giggle; snicker	竹 118.4	10	2	1952	346
步	bù	step, pace; walk, stroll	止 77.3	7	2	710	349
每	měi	every, each	毋 80.3	7	2	767	359
快	kuài	rapid, quick, speedy, fast; soon	心 61.4	7	2	876	366
往	wǎng	go, depart; past, formerly	彳 60.5	8	2	1160	369
近	jìn	near, close; approach; intimate	辵 162.4	7	2	791	374
夫	fū	man, male adult, husband; those	大 37.1	4	2	79	377
准	zhǔn	approve, allow, permit; in accord	冫 15.8	10	2	2024	379
始	shǐ	begin, start; then, only then	女 38.5	8	2	1329	381
远	yuǎn	distant, remote, far; profound	辵 162.4	7	2	608	386
备	bèi	prepare, ready, perfect	夂 34.5	8	2	1200	397
百	bǎi	one hundred; numerous, many	白 106.1	6	2	389	407
离	lí	rare beast; strange; elegant	禸 114.6	10	2	2035	418
病	bìng	illness, sickness, disease	疒 104.5	10	2	2027	427
息	xī	rest, put stop to, end, cease	心 61.6	10	2	1973	428
火	huǒ	fire, flame; burn; anger, rage	火 86.0	4	2	164	433
早	zǎo	early; soon; morning	日 72.2	6	2	419	462
找	zhǎo	search, seek, look for; find	手 64.4	7	2	621	466
吧	ba	emphatic final particle	口 30.4	7	2	747	470
考	kǎo	examine, test; investigate	老 125.0	6	2	358	495
红	hóng	red, vermillion; blush, flush	糸 120.3	6	2	589	502
虽	suī	although, even if	虫 142.3	9	2	1502	504
希	xī	rare; hope, expect, strive for	巾 50.4	7	2	796	508
房	fáng	house, building; room	戶 63.4	8	2	1290	512
黑	hēi	black; dark; evil, sinister	黑 203.0	12	2	2655	519
足	zú	foot; attain, satisfy, enough	足 157.0	7	2	731	527
孩	hái	baby, child; children	子 39.6	9	2	1730	533
站	zhàn	stand up; a stand, station	立 117.5	10	2	2041	544
诉	sù	accuse; sue; inform; narrate	言 149.5	7	2	894	595
千	qiān	thousand; many, numerous; very; (Cant.) a cheater, swindler	十 24.1	3	2	41	599
男	nán	male, man; son; baron; surname	田 102.2	7	2	733	602
助	zhù	help, aid, assist	力 19.5	7	2	719	607
乐	lè	happy, glad; enjoyable; music	丿 4.4	5	2	287	619
球	qiú	ball, sphere, globe; round	玉 96.7	11	2	2155	628
错	cuò	error, blunder, mistake; wrong	金 167.8	13	2	2936	638
晚	wǎn	night, evening; late	日 72.7	11	2	2270	641
试	shì	test, try, experiment	言 149.6	8	2	1286	643
送	sòng	see off, send off; dispatch, give	辵 162.6	9	2	1645	656
药	yào	leaf of Dahurian angelica plant; medicine	艸 140.6	9	2	1423	662
游	yóu	to swim; float, drift; wander, roam	水 85.9	12	2	2766	695
室	shì	room, home, house, chamber	宀 40.6	9	2	1697	708
您	nín		心 61.7	11	2	2331	726
帮	bāng	help, assist; defend; shoe upper	巾 50.7	9	2	1356	769
左	zuǒ	left; east; unorthodox, improper	工 48.2	5	2	214	782
右	yòu	right; west; right-wing	口 30.2	5	2	217	783
穿	chuān	penetrate, pierce, drill; wear	穴 116.4	9	2	1701	785
哥	gē	elder brother	口 30.7	10	2	1852	804
弟	dì	young brother; junior; i, me	弓 57.4	7	2	854	816
慢	màn	slow(ly), leisurely, sluggish	心 61.11	14	2	3169	822
忙	máng	busy, pressed for time; hustling	心 61.3	6	2	543	827
介	jiè	forerunner, herald, harbinger; to lie between; sea shell; to wear armor	人 9.2	4	2	140	831
鱼	yú	fish; surname; KangXi radical 195	魚 195.0	8	2	1194	852
跑	pǎo	run, flee, leave in hurry	足 157.5	12	2	2631	864
贵	guì	expensive, costly, valuable	貝 154.5	9	2	1495	873
班	bān	class, group, grade; squad; job	玉 96.6	10	2	1774	884
票	piào	slip of paper or bamboo; ticket	示 113.6	11	2	2235	910
睛	jīng	eyeball; pupil of eye	目 109.8	13	2	2895	934
旅	lǚ	trip, journey; travel; traveler	方 70.6	10	2	2046	950
笔	bǐ	writing brush; write; stroke	竹 118.4	10	2	1951	956
卖	mài	sell; betray; show off	十 24.6	8	2	1042	974
旁	páng	side; by side, close by, near	方 70.6	10	2	2045	981
阴	yīn		阜 170.4	6	2	575	987
跳	tiào	jump, leap, vault, bounce; dance	足 157.6	13	2	2915	999
雪	xuě	snow; wipe away shame, avenge	雨 173.3	11	2	2249	1003
肉	ròu	flesh; meat; KangXi radical 130	肉 130.0	6	2	443	1009
馆	guǎn	public building	食 184.8	11	2	2373	1011
牛	niú	cow, ox, bull; KangXi radical93	牛 93.0	4	2	120	1018
纸	zhǐ	paper	糸 120.4	7	2	938	1020
歌	gē	song, lyrics; sing, chant; praise	欠 76.10	14	2	3084	1040
床	chuáng	bed, couch; framework, chassis	广 53.4	7	2	831	1068
玩	wán	play with, joke, enjoy	玉 96.4	8	2	944	1072
妻	qī	wife	女 38.5	8	2	1056	1076
休	xiū	rest, stop; retire; do not!	人 9.4	6	2	458	1082
舞	wǔ	dance, posture, prance; brandish	舛 136.8	14	2	3116	1144
姓	xìng		女 38.5	8	2	1327	1149
妹	mèi	younger sister	女 38.5	8	2	1324	1185
汽	qì	steam, vapor, gas	水 85.4	7	2	861	1200
课	kè	lesson; course; classwork	言 149.8	10	2	2120	1208
懂	dǒng	understand, comprehend	心 61.13	15	2	3300	1211
绍	shào	continue, carry on; join	糸 120.5	8	2	1348	1234
丈	zhàng	unit of length equal 3.3 meters; gentleman, man, husband	一 1.2	3	2	33	1242
洗	xǐ	wash, rinse; clean, purify	水 85.6	9	2	1671	1247
唱	chàng	sing, chant, call; ditty, song	口 30.8	11	2	2284	1252
奶	nǎi		女 38.2	5	2	332	1278
宜	yí	suitable, right, fitting, proper	宀 40.5	8	2	1278	1290
累	lèi	tired; implicate, involve; bother	糸 120.5	11	2	2282	1323
羊	yáng	sheep, goat; KangXi radical 123	羊 123.0	6	2	530	1337
零	líng	zero; fragment, fraction	雨 173.5	13	2	2885	1342
蛋	dàn	eggs; term of abuse	虫 142.5	11	2	2477	1387
鸡	jī	chicken	鳥 196.2	7	2	928	1391
宾	bīn	guest, visitor; surname; submit	宀 40.7	10	2	2102	1534
颜	yán	face, facial appearance	頁 181.9	15	2	3285	1545
瓜	guā	melon, gourd, cucumber; rad. 97	瓜 97.0	5	2	279	1827
晴	qíng	clear weather, fine weather	日 72.8	12	2	2611	1968
啡	fēi	morphine; coffee	口 30.8	11	2	2272	2326
篮	lán	basket	竹 118.10	16	2	3357	2357
咖	kā	coffee; a phonetic	口 30.5	8	2	1104	2379
踢	tī	kick	足 157.8	15	2	3241	2444
泳	yǒng	dive; swim	水 85.5	8	2	1257	2607
铅	qiān	lead	金 167.5	10	2	1934	2641
地	de	earth; soil, ground; region	土 32.3	6	3	366	21
而	ér	and; and then; and yet; but	而 126.0	6	3	392	36
于	yú	in, on, at; go to; surname	二 7.1	3	3	24	40
自	zì	self, private, personal; from	自 132.0	6	3	477	43
发	fā	issue, dispatch, send out; hair	又 29.3	5	3	339	47
用	yòng	use, employ, apply, operate; use	用 101.0	5	3	283	51
行	xíng	go; walk; move, travel; circulate	行 144.0	6	3	483	53
种	zhǒng	seed; race, breed; to plant	禾 115.4	9	3	1549	57
成	chéng	completed, finished, fixed	戈 62.3	6	3	401	59
方	fāng	a square, rectangle; a region; local	方 70.0	4	3	163	60
法	fǎ	law, rule, regulation, statute; France, French	水 85.5	8	3	1241	65
如	rú	if, supposing; as if; like, as	女 38.3	6	3	578	67
当	dāng	bear, accept, undertake; just	小 42.3	6	3	418	71
定	dìng	decide, settle, fix	宀 40.5	8	3	1276	77
其	qí	his, her, its, their; that	八 12.6	8	3	996	85
主	zhǔ	master, chief owner; host; lord	丶 3.4	5	3	300	87
理	lǐ	reason, logic; manage	玉 96.7	11	3	2157	89
心	xīn	heart; mind, intelligence; soul	心 61.0	4	3	174	90
只	zhǐ	only, just, simply	口 30.2	5	3	246	97
实	shí	real, true; honest, sincere	宀 40.5	8	3	1285	100
者	zhě	that which; he who; those who	老 125.4	8	3	969	103
力	lì	power, capability, influence	力 19.0	2	3	19	106
把	bǎ	hold, take; guard; regard as	手 64.4	7	3	655	110
又	yòu	and, also, again, in addition	又 29.0	2	3	21	126
业	yè	profession, business; GB radical 111	一 1.4	5	3	231	130
重	zhòng	heavy, weighty; double	里 166.2	9	3	1552	140
物	wù	thing, substance, creature	牛 93.4	8	3	1127	142
应	yīng	should, ought to, must	广 53.4	7	3	836	144
向	xiàng	toward, direction, trend	口 30.3	6	3	480	146
头	tóu	head; top; chief, first; boss	大 37.2	5	3	310	147
文	wén	literature, culture, writing	文 67.0	4	3	161	148
相	xiāng	mutual, reciprocal, each other	目 109.4	9	3	1430	152
被	bèi		衣 145.5	10	3	2118	154
或	huò	or, either, else; perhaps, maybe	戈 62.4	8	3	1035	160
己	jǐ	self, oneself; personal, private; 6th heavenly stem	己 49.0	3	3	60	162
加	jiā	add to, increase, augment	力 19.3	5	3	335	166
特	tè	special, unique, distinguished	牛 93.6	10	3	1938	173
信	xìn	trust, believe; letter	人 9.7	9	3	1570	176
化	huà	change, convert, reform; -ize	匕 21.2	4	3	132	178
世	shì	generation; world; era	一 1.4	5	3	206	181
位	wèi	throne; position, post; rank, status; seat	人 9.5	7	3	784	182
声	shēng	sound, voice, noise; tone; music	士 33.4	7	3	654	195
提	tí	hold in hand; lift in hand	手 64.9	12	3	2520	196
解	jiě	loosen, unfasten, untie; explain	角 148.6	13	3	2981	201
口	kǒu	mouth; open end; entrance, gate	口 30.0	3	3	38	212
平	píng	flat, level, even; peaceful	干 51.2	5	3	222	215
更	gèng	more, still further, much more	曰 73.3	7	3	693	221
变	biàn	change, transform, alter; rebel	又 29.6	8	3	1204	225
总	zǒng	collect; overall, altogether	八 12.7	9	3	1654	228
数	shù	number; several, count; fate	攴 66.9	13	3	2999	231
安	ān	peaceful, tranquil, quiet	宀 40.3	6	3	549	232
才	cái	talent, ability; just, only	手 64.0	3	3	29	235
结	jié	knot, tie; join, connect	糸 120.6	9	3	1754	236
目	mù	eye; look, see; division, topic	目 109.0	5	3	236	239
感	gǎn	feel, perceive, emotion	心 61.9	13	3	2875	243
接	jiē	receive; continue; catch; connect	手 64.8	11	3	2185	247
必	bì	surely, most certainly; must	心 61.1	5	3	321	248
市	shì	market, fair; city, town; trade	巾 50.2	5	3	301	254
直	zhí	straight, erect, vertical	目 109.3	8	3	1011	255
山	shān	mountain, hill, peak	山 46.0	3	3	39	259
空	kōng	empty, hollow, bare, deserted	穴 116.3	8	3	1282	272
决	jué	decide, determine, judge	冫 15.4	6	3	523	273
马	mǎ	horse; surname; KangXi radical 187	馬 187.0	3	3	72	276
界	jiè	boundary, limit; domain; society; the world	田 102.4	9	3	1496	288
放	fàng	put, release, free, liberate	攴 66.4	8	3	1223	291
像	xiàng	a picture, image, figure; to resemble	人 9.12	13	3	2961	294
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	一 1.4	5	3	237	296
难	nán	difficult, arduous, hard; unable	又 29.8	10	3	2147	295
记	jì	record; keep in mind, remember	言 149.3	5	3	323	306
南	nán	south; southern part; southward	十 24.7	9	3	1422	307
求	qiú	seek; demand, request; beseech	水 85.2	7	3	690	312
据	jù	to occupy, take possession of; a base, position	手 64.8	11	3	2189	313
张	zhāng	stretch, extend, expand; sheet	弓 57.4	7	3	909	318
该	gāi	should, ought to, need to	言 149.6	8	3	1300	319
万	wàn	ten thousand; innumerable	一 1.2	3	3	35	322
清	qīng	clear, pure, clean; peaceful	水 85.8	11	3	2410	335
带	dài	belt, girdle, band, strap, zone	巾 50.6	9	3	1407	342
风	fēng	wind; air; manners, atmosphere	風 182.0	4	3	154	348
根	gēn	root, base(d on); foundation	木 75.6	10	3	1850	352
干	gàn	oppose, offend; invade; dried	干 51.0	3	3	23	353
极	jí	extreme, utmost, furthest, final	木 75.3	7	3	687	363
办	bàn	manage, do, handle; deal with	力 19.2	4	3	181	367
议	yì	consult, talk over, discuss	言 149.3	5	3	320	368
元	yuán	first; dollar; origin; head	儿 10.2	4	3	80	370
单	dān	single, individual, only; lone	八 12.6	8	3	1232	389
调	diào	transfer, move, change; tune	言 149.8	10	3	2123	400
算	suàn	count, calculate, figure; plan	竹 118.8	14	3	3121	403
